date,price
2/3/2019,40000
2/4/2019,40000
2/5/2019,40000
2/6/2019,40000
2/7/2019,40000
2/8/2019,40000
2/9/2019,40000
2/10/2019,40000
2/11/2019,40000
2/12/2019,35000
2/13/2019,35000
2/14/2019,35000
2/15/2019,35000
2/16/2019,35000
2/17/2019,35000
2/18/2019,35000
2/19/2019,35000
2/20/2019,35000
2/21/2019,35000
2/22/2019,35000
2/23/2019,35000
2/24/2019,35000
2/25/2019,35000
2/26/2019,35000
2/27/2019,35000
2/28/2019,35000
3/1/2019,35000
3/2/2019,35000
3/3/2019,35000
3/4/2019,35000
3/5/2019,35000
3/6/2019,35000
3/7/2019,35000
3/8/2019,35000
3/9/2019,35000
3/10/2019,35000
3/11/2019,35000
3/12/2019,35000
3/13/2019,35000
3/14/2019,35000
3/15/2019,35000
3/16/2019,35000
3/17/2019,35000
3/18/2019,35000
3/19/2019,35000
3/20/2019,35000
3/21/2019,35000
3/22/2019,35000
3/23/2019,35000
3/24/2019,35000
3/25/2019,35000
3/26/2019,35000
3/27/2019,35000
3/28/2019,35000
3/29/2019,35000
3/30/2019,35000
3/31/2019,35000
4/1/2019,35000
4/2/2019,35000
4/3/2019,35000
4/4/2019,35000
4/5/2019,35000
4/6/2019,35000
4/7/2019,35000
4/8/2019,35000
4/9/2019,35000
4/10/2019,35000
4/11/2019,35000
4/12/2019,35000
4/13/2019,35000
4/14/2019,35000
4/15/2019,35000
4/16/2019,35000
4/17/2019,35000
4/18/2019,35000
4/19/2019,35000
4/20/2019,35000
4/21/2019,35000
4/22/2019,36000
4/23/2019,36000
4/24/2019,36000
4/25/2019,36000
4/26/2019,36000
4/27/2019,36000
4/28/2019,36000
4/29/2019,36000
4/30/2019,36000
5/1/2019,36000
5/2/2019,36000
5/3/2019,36000
5/4/2019,36000
5/5/2019,36000
5/6/2019,36000
5/7/2019,36000
5/8/2019,36000
5/9/2019,36000
5/10/2019,36000
5/11/2019,36000
5/12/2019,36000
5/13/2019,30000
5/14/2019,30000
5/15/2019,30000
5/16/2019,30000
5/17/2019,30000
5/18/2019,30000
5/19/2019,30000
5/20/2019,30000
5/21/2019,30000
5/22/2019,30000
5/23/2019,30000
5/24/2019,30000
5/25/2019,30000
5/26/2019,30000
5/27/2019,30000
5/28/2019,30000
5/29/2019,30000
5/30/2019,30000
5/31/2019,30000
6/1/2019,30000
6/2/2019,30000
6/3/2019,30000
6/4/2019,30000
6/5/2019,30000
6/6/2019,30000
6/7/2019,32000
6/8/2019,32000
6/9/2019,32000
6/10/2019,32000
6/11/2019,32000
6/12/2019,32000
6/13/2019,32000
6/14/2019,32000
6/15/2019,32000
6/16/2019,32000
6/17/2019,32000
6/18/2019,32000
6/19/2019,32000
6/20/2019,32000
6/21/2019,32000
6/22/2019,32000
6/23/2019,32000
6/24/2019,32000
6/25/2019,32000
6/26/2019,32000
6/27/2019,32000
6/28/2019,32000
6/29/2019,32000
6/30/2019,32000
2/1/2020,32000
2/2/2020,32000
2/3/2020,32000
2/4/2020,32000
2/5/2020,25000
2/6/2020,25000
2/7/2020,25000
2/8/2020,25000
2/9/2020,25000
2/10/2020,25000
2/11/2020,25000
2/12/2020,25000
2/13/2020,25000
2/14/2020,25000
2/15/2020,25000
2/16/2020,25000
2/17/2020,25000
2/18/2020,22000
2/19/2020,22000
2/20/2020,22000
2/21/2020,22000
2/22/2020,22000
2/23/2020,22000
2/24/2020,22000
2/25/2020,25000
2/26/2020,25000
2/27/2020,25000
2/28/2020,25000
2/29/2020,25000
3/1/2020,25000
3/2/2020,25000
3/3/2020,25000
3/4/2020,25000
3/5/2020,25000
3/6/2020,25000
3/7/2020,25000
3/8/2020,25000
3/9/2020,25000
3/10/2020,25000
3/11/2020,25000
3/12/2020,25000
3/13/2020,25000
3/14/2020,25000
3/15/2020,25000
3/16/2020,25000
3/17/2020,25000
3/18/2020,25000
3/19/2020,25000
3/20/2020,25000
3/21/2020,25000
3/22/2020,25000
3/23/2020,25000
3/24/2020,25000
3/25/2020,25000
3/26/2020,22000
3/27/2020,22000
3/28/2020,22000
3/29/2020,22000
3/30/2020,20000
3/31/2020,20000
4/1/2020,20000
4/2/2020,20000
4/3/2020,12000
4/4/2020,12000
4/5/2020,12000
4/6/2020,10000
4/7/2020,10000
4/8/2020,10000
4/9/2020,18000
4/10/2020,18000
4/11/2020,18000
4/12/2020,18000
4/13/2020,18000
4/14/2020,18000
4/15/2020,18000
4/16/2020,18000
4/17/2020,18000
4/18/2020,18000
4/19/2020,18000
4/20/2020,16000
4/21/2020,16000
4/22/2020,16000
4/23/2020,16000
4/24/2020,16000
4/25/2020,16000
4/26/2020,16000
4/27/2020,18000
4/28/2020,18000
4/29/2020,18000
4/30/2020,18000
5/1/2020,18000
5/2/2020,18000
5/3/2020,18000
5/4/2020,22000
5/5/2020,22000
5/6/2020,22000
5/7/2020,18000
5/8/2020,18000
5/9/2020,18000
5/10/2020,18000
5/11/2020,18000
5/12/2020,18000
5/13/2020,20000
5/14/2020,20000
5/15/2020,25000
5/16/2020,25000
5/17/2020,25000
5/18/2020,25000
5/19/2020,25000
5/20/2020,25000
5/21/2020,25000
5/22/2020,25000
5/23/2020,25000
5/24/2020,25000
5/25/2020,25000
5/26/2020,25000
5/27/2020,25000
5/28/2020,28000
5/29/2020,28000
5/30/2020,28000
5/31/2020,28000
6/1/2020,28000
6/2/2020,28000
6/3/2020,28000
6/4/2020,28000
6/5/2020,28000
6/6/2020,28000
6/7/2020,28000
6/8/2020,28000
6/9/2020,28000
6/10/2020,28000
6/11/2020,28000
6/12/2020,28000
6/13/2020,28000
6/14/2020,28000
6/15/2020,20000
6/16/2020,20000
6/17/2020,20000
6/18/2020,20000
6/19/2020,20000
6/20/2020,20000
6/21/2020,20000
6/22/2020,25000
6/23/2020,25000
6/24/2020,25000
6/25/2020,25000
6/26/2020,25000
6/27/2020,25000
6/28/2020,25000
6/29/2020,25000
6/30/2020,25000
2/1/2021,35000
2/2/2021,35000
2/3/2021,35000
2/4/2021,35000
2/5/2021,35000
2/6/2021,35000
2/7/2021,35000
2/8/2021,35000
2/9/2021,35000
